sample,CD3,CD4,CD8
A,31.8304005078971,42.5016635213979,48.7885274202563
B,75.7365733850747,8.44769830582663,39.0489141782746
C,41.4371052989736,44.1747090313584,31.1752129672095
D,6.52533615939319,23.3002782217227,43.8408971740864
E,51.0609594639391,4.38571696868166,16.035078172572
F,91.4146251743659,2.62866300763562,17.5489706778899
G,53.8683005608618,16.8634973815642,15.5217873607762
H,98.7028355011716,16.4767840527929,16.1933139758185
I,80.7347112568095,12.8444156958722,63.0974820326082
J,57.1776653639972,34.0996962389909,48.4203524165787
K,31.8304005078971,42.5016635213979,48.7885274202563
L,75.7365733850747,8.44769830582663,39.0489141782746
M,41.4371052989736,44.1747090313584,31.1752129672095
N,6.52533615939319,23.3002782217227,43.8408971740864
O,51.0609594639391,4.38571696868166,16.035078172572
P,91.4146251743659,2.62866300763562,17.5489706778899
Q,53.8683005608618,16.8634973815642,15.5217873607762
R,98.7028355011716,16.4767840527929,16.1933139758185
S,80.7347112568095,12.8444156958722,63.0974820326082
T,57.1776653639972,34.0996962389909,48.4203524165787
